영화명,감독,제작국가,개봉일,장르,누적관객수,누적매출액
몬테크리스토: 더 뮤지컬 라이브,오윤동,한국,2021-03-19,공연,13010.0,257195000.0
아바타 리마스터링,제임스 카메론,미국,2022-09-21,SF,230712.0,3895090540.0
내추럴 바이스,,미국,2022-11-24,범죄,,
탑,홍상수,한국,2022-11-03,드라마,,
블랙 팬서: 와칸다 포에버,라이언 쿠글러,미국,2022-11-09,액션,2102015.0,22168419209.0
존 덴버 죽이기,아덴 로즈 콘데즈,필리핀,2022-11-23,드라마,,
컴어웨이,브렌다 채프먼,미국,2022-11-23,어드벤처,,
아마겟돈 타임,제임스 그레이,미국,2022-11-23,드라마,,
놈이 우리 안에 있다,조쉬 루벤,미국,2022-11-23,미스터리,,
기예르모 델토로의 피노키오,기예르모 델 토로,미국,2022-11-23,애니메이션,,
낮에는 덥고 밤에는 춥고,박송열,한국,2022-10-27,드라마,,
사잇소리,김정욱,한국,2022-10-13,스릴러,,
미혹,김진영,한국,2022-10-19,미스터리,,
수색자,김민섭,한국,2021-09-29,스릴러,16240.0,118663820.0
경성별희,후메이,중국,2022-11-17,드라마,,
폴: 600미터,스콧 만,"영국,미국",2022-11-16,스릴러,78494.0,789907856.0
헬 카운트,브렌든 멀다우니,미국,2022-11-17,공포(호러),,
블로우백,티보 타카스,미국,2022-11-17,액션,,
맨 온 엣지,황명승,홍콩,2022-11-17,액션,,
자백,윤종석,한국,2022-10-26,범죄,727565.0,7257201443.0
아르코라이브 무용 물속 골리앗,김모든,한국,2022-11-16,공연,,
"바르도, 약간의 진실을 섞은 거짓된 연대기",알레한드로 곤잘레스 이냐리투,미국,2022-11-16,드라마,,
내가 날 부를 때,,중국,2021-09-09,드라마,,
극장판 검정고무신 : 즐거운 나의 집,"송정율, 송요한",한국,2022-10-06,애니메이션,,
성덕,오세연,한국,2022-09-28,다큐멘터리,,
귀못,탁세웅,한국,2022-10-19,공포(호러),41423.0,348694600.0
고고다이노 극장판: 얼음공룡의 비밀,이선명,한국,2022-10-05,애니메이션,28056.0,253017713.0
기동전사 건담 쿠쿠루스 도안의 섬,야스히코 요시카즈,일본,2022-10-05,애니메이션,,
은하철도 999 - 극장판,린 타로,일본,2022-10-05,애니메이션,,
4DX 문유,"윤현정, 이지혜, 문교리",한국,2022-10-12,기타,,
피가로~피가로~피가로,벤 루윈,영국,2022-11-10,코미디,,
극장판 소드 아트 온라인 -프로그레시브- 짙은 어둠의 스케르초,카와노 아야코,일본,2022-11-10,애니메이션,9831.0,111488700.0
쿠사마 야요이: 무한의 세계,,미국,2021-05-19,다큐멘터리,,
에브리띵 윌 체인지,,독일,2022-11-09,SF,,
가재가 노래하는 곳,올리비아 뉴먼,미국,2022-11-02,드라마,9671.0,97186684.0
리멤버,이일형,한국,2022-10-26,드라마,402006.0,3884703669.0
알카라스의 여름,카를라 시몬,스페인,2022-11-03,드라마,,
죽어도 자이언츠,이동윤,한국,2022-10-27,다큐멘터리,,
애프터 미투,"박소현, 이솜이, 강유가람, 김소람",한국,2022-10-06,다큐멘터리,,
갓길로 달리는 코뿔소,황동석,한국,2022-06-23,드라마,,
창극 춘향,김명곤,한국,2022-11-03,공연,,
분노의 추격자,브라이언 굿맨,미국,2022-11-03,액션,,
걸리버 리턴즈,,우크라이나,2022-11-03,애니메이션,,
루팡의 딸 극장판,타케우치 히데키,일본,2022-11-02,가족,,
봄날,이돈구,한국,2022-04-27,드라마,22575.0,167966360.0
블랙 사이트,,호주,2022-11-02,액션,,
미시즈 해리스 파리에 가다,안소니 파비안,미국,2022-11-02,드라마,,
뮤지컬 <미아 파밀리아>,장우성,한국,2022-11-02,뮤지컬,,
십센치 : 권정열 인 시네마,김병준,한국,2022-10-08,공연,,
대무가,이한종,한국,2022-10-12,드라마,59964.0,540303256.0
인간실격,키자키 후미노리,일본,2022-10-01,애니메이션,,
엑스칼리버 더 뮤지컬 다큐멘터리: 도겸의 찬란한 여정,오윤동,한국,2022-10-05,공연,,
정직한 후보2,장유정,한국,2022-09-28,코미디,879037.0,8289059583.0
포프란: 사라진 X를 찾아서,우에다 신이치로,일본,2022-10-27,코미디,,
스타게이저: 아스트로스코프,도하,한국,2022-10-27,공연,,
바커스: 고양이를 조심해!,,러시아,2022-10-27,애니메이션,,
극장판 유루캠△,,일본,2022-10-27,애니메이션,,
썬더버드,이재원,한국,2022-09-21,드라마,,
아인보: 아마존의 전설,"리처드 클라우스, 호세 젤라다","페루,네덜란드,미국",2022-10-26,애니메이션,47824.0,373563979.0
도그,채닝 테이텀,미국,2022-10-26,코미디,,
명탐정 코난: 할로윈의 신부,미츠나카 스스무,일본,2022-07-13,애니메이션,476531.0,4957182139.0
낮과 달,이영아,한국,2022-10-20,드라마,,
코다,션 헤이더,프랑스,2021-08-31,드라마,47413.0,442660920.0
말임씨를 부탁해,박경목,한국,2022-04-13,드라마,9044.0,73160430.0
니얼굴,서동일,한국,2022-06-23,다큐멘터리,,
블랙 아담,자움 콜렛 세라,미국,2022-10-19,액션,776134.0,8008769316.0
프로메어,이마이시 히로유키,일본,2022-10-20,애니메이션,,
더 요트,,미국,2022-10-20,스릴러,,
브로커,고레에다 히로카즈,한국,2022-06-08,드라마,1254445.0,12539931030.0
헤어질 결심,박찬욱,한국,2022-06-29,미스터리,1860462.0,19302624258.0
리슨,아나 로샤,영국,2021-12-09,드라마,,
2차 송환,김동원,한국,2022-09-29,다큐멘터리,,
캐릭터,나가이 아키라,일본,2022-10-19,스릴러,,
"그 남자, 좋은 간호사",토비아스 린드홀름,미국,2022-10-19,스릴러,,
한산: 용의 출현,김한민,한국,2022-07-27,액션,7250017.0,73592629282.0
쥬라기캅스 극장판: 공룡시대 대모험,김호락,한국,2022-09-07,애니메이션,,
반도,연상호,한국,2020-07-15,액션,3810397.0,33060095780.0
투란도트 어둠의 왕국,김시우,한국,2022-08-18,뮤지컬,,
극장판 엄마 까투리: 도시로 간 까투리 가족,정길훈,한국,2022-09-08,애니메이션,162819.0,1524750219.0
할로윈 엔드,데이빗 고든 그린,미국,2022-10-13,공포(호러),,
꼬마 마법사 레미: 견습 마법사를 찾아서,"사토 준이치, 카마타니 하루카",일본,2021-05-19,애니메이션,,
둠둠,정원희,한국,2022-09-15,드라마,,
극장판 헬로카봇: 수상한 마술단의 비밀,"최신규, 이슬기, 정승원",한국,2022-09-28,애니메이션,213585.0,2006349180.0
주연,송원준,한국,2022-09-29,드라마,,
오! 마이 고스트,홍태선,한국,2022-09-15,코미디,,
어제 뭐 먹었어? -극장판,,일본,2022-10-13,드라마,,
극장판 이세계 콰르텟: 어나더 월드,,일본,2022-10-13,애니메이션,,
메이드 인 루프탑,김조광수,한국,2021-06-23,드라마,,
오펀: 천사의 탄생,윌리엄 브렌트 벨,미국,2022-10-12,공포(호러),172253.0,1750756115.0
햄릿,,미국,2022-10-11,공연,,
기억의 전쟁,이길보라,한국,2020-02-27,다큐멘터리,,
자산어보,이준익,한국,2021-03-31,사극,323704.0,2870528130.0
스마일,파커 핀,미국,2022-10-06,미스터리,97440.0,1038453082.0
말아,곽민승,한국,2022-08-25,드라마,,
고양이들의 아파트,정재은,한국,2022-03-17,다큐멘터리,,
태안,구자환,한국,2022-10-06,다큐멘터리,,
아이를 위한 아이,이승환,한국,2022-07-21,기타,,
에이비식스 : 테이크 어 챈스,"박우주, 김혜진",한국,2022-10-05,다큐멘터리,,
스파이더맨: 노 웨이 홈 '펀버전',존 왓츠,미국,2022-10-05,액션,,
한창나이 선녀님,원호연,한국,2021-10-20,다큐멘터리,,
적인걸: 음양사,,카자흐스탄,2022-09-08,액션,,
블레이드 퍼피 워리어,"마크 쿠치어, 롭 민코프, 크리스 베일리",미국,2022-09-28,애니메이션,,
도굴: 패왕총,조소구,중국,2022-09-27,액션,,
데인저 파크,M.J. 버세트,미국,2022-09-21,액션,,
EBS친구들 씽씽 댄스파티,,한국,2022-09-20,가족,,
쌍화점,,중국,2022-09-08,드라마,,
벽혈금의위,,중국,2022-09-08,액션,,
배틀 오브 머신,크리스토퍼 해튼,미국,2022-09-07,액션,,
미션 투 베를린,칼럼 번,영국,2022-09-07,전쟁,,
크라이오,,미국,2022-09-02,SF,,
수호지-귀족영웅 노준의,류신의,중국,2022-09-01,액션,,
당신의 이웃은 친절하지 않다,안효일,한국,2022-09-15,미스터리,,
암스테르담 바이스,아르네 투넨,네덜란드,2022-09-29,액션,,
공조2: 인터내셔날,이석훈,한국,2022-09-07,액션,6974139.0,70856185317.0
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,타카하시 와타루,일본,2022-09-28,애니메이션,827170.0,8289250603.0
자드 - 왓 어 뷰티풀 모먼트 투어,,일본,2022-09-28,공연,,
다만 악에서 구하소서,홍원찬,한국,2020-08-05,범죄,4350493.0,38553614260.0
기기묘묘,"이탁, 남순아, 심규호, 김동식",한국,2022-09-22,공포(호러),,
종착역,"권민표, 서한솔",한국,2021-09-23,드라마,,
아이의 노랫소리를 들려줘,요시우라 야스히로,일본,2022-09-22,애니메이션,,
로보카폴리 안전교실 교통편,엄준영,한국,2022-09-19,애니메이션,,
극장판 5등분의 신부,진보 마사토,일본,2022-09-22,애니메이션,33952.0,378218800.0
비스트,발타자르 코루마쿠르,미국,2022-09-14,공포(호러),,
테이크 오프: 파도위에 서다,강대희,한국,2022-08-25,드라마,,
스쿨 오브 락(樂),강호준,한국,2021-05-13,다큐멘터리,,
헌트,이정재,한국,2022-08-10,액션,4344403.0,44530836970.0
파라다이스 하이웨이,안나 구또,미국,2022-08-24,액션,,
카고,제임스 쿨렌 브레삭,미국,2022-09-15,애니메이션,,
작은 방안의 소녀,박소진,한국,2021-11-25,가족,,
소피의 세계,이제한,한국,2022-03-03,드라마,,
홈리스,임승현,한국,2022-09-15,드라마,,
귀멸의 칼날: 장구저택 편,소토자키 하루오,일본,2022-09-15,애니메이션,,
드래곤볼 슈퍼: 슈퍼 히어로,코다마 테츠로,일본,2022-09-14,애니메이션,,
9명의 번역가,레지스 르왕사르,프랑스,2022-09-14,미스터리,,
람메르무어의 루치아,,미국,2022-09-13,공연,,
다 잘된 거야,프랑수아 오종,프랑스,2022-09-07,드라마,,
"어쩌다 공주, 닭냥이 왕자를 부탁해!",줄리앙 프루네,프랑스,2022-09-08,애니메이션,36939.0,356911082.0
블랙폰,스콧 데릭슨,미국,2022-09-07,공포(호러),101330.0,1038207347.0
인생은 뷰티풀: 비타돌체,"김선형, 오윤동",한국,2022-09-07,다큐멘터리,37746.0,1279676500.0
죽이러 간다,박남원,한국,2021-11-11,드라마,,
리미트,이승준,한국,2022-08-31,범죄,58955.0,550817703.0
바다 탐험대 옥토넛 : 탐험선 대작전,,영국,2022-08-11,애니메이션,64537.0,609954950.0
피닉스,크리스티안 펫졸드,독일,2021-07-22,드라마,,
트랜짓,크리스티안 펫졸드,독일,2020-07-02,드라마,,
운디네,크리스티안 펫졸드,독일,2020-12-24,드라마,,
우리가 말하지 않은 것,이시이 유야,일본,2022-09-01,드라마,,
머메이드 다운,,미국,2022-08-31,판타지,,
합마신공,,중국,2022-08-24,액션,,
미인도: 와신상담,,중국,2022-08-04,액션,,
금의위: 용의 비검,등연성,중국,2022-08-03,액션,,
투란도트,,미국,2022-08-02,공연,,
아라시 20주년 투어 콘서트 5✕20,츠츠미 유키히코,일본,2022-08-31,공연,,
썬다운,미셸 프랑코,프랑스,2022-08-31,미스터리,,
락다운 213주,아담 메이슨,미국,2022-08-31,스릴러,,
K클래식 제너레이션,티에리 로로,기타,2022-08-31,다큐멘터리,,
대명천군 금의위,등연성,중국,2022-08-17,액션,,
슈퍼 후?,필리프 라슈,프랑스,2022-08-30,코미디,,
모가디슈,류승완,한국,2021-07-28,액션,3604819.0,34493898150.0
코코순이,이석재,한국,2022-08-25,다큐멘터리,,
인플루엔자,황준하,한국,2022-08-25,드라마,,
우먼,"얀 아르튀스-베르트랑, 아나스타샤 미코바",프랑스,2022-08-25,다큐멘터리,,
귀멸의 칼날: 아사쿠사 편,소토자키 하루오,일본,2022-08-25,애니메이션,,
불릿 트레인,데이빗 레이치,미국,2022-08-24,액션,136146.0,1494845103.0
경아의 딸,김정은,한국,2022-06-16,드라마,,
파로호,임상수,한국,2022-08-18,스릴러,,
보일링 포인트,필립 바랜티니,영국,2022-08-04,스릴러,,
내가 못 나가는 것도 아닌데,김충길,한국,2022-08-24,드라마,,
룸 쉐어링,이순성,한국,2022-06-22,드라마,10293.0,88382690.0
"굿 럭 투 유, 리오 그랜드",소피 하이드,영국,2022-08-11,코미디,,
베르히만 아일랜드,미아 한센-로브,"프랑스,벨기에,독일,스웨덴,멕시코",2022-08-04,드라마,,
기도의 숨결,"세실 베스노, 이반 마사카",프랑스,2022-08-18,다큐멘터리,,
모퉁이,신선,한국,2022-08-11,드라마,,
멘,알렉스 가랜드,미국,2022-07-13,드라마,,
풀타임,,프랑스,2022-08-18,드라마,,
스왈로우,카를로 미라벨라 데이비스,"미국,프랑스",2020-07-03,미스터리,,
히즈 아웃 데어,퀸 래셔,미국,2022-08-18,공포(호러),,
콘서트를 지켜라,"이미리, 설민아",한국,2022-08-18,공연,,
리볼버,가이 리치,영국,2022-08-18,범죄,,
놉,조던 필,미국,2022-08-17,미스터리,398082.0,4533641209.0
니 부모 얼굴이 보고 싶다,김지훈,한국,2022-04-27,드라마,402616.0,3873342180.0
멋진 세계,니시카와 미와,일본,2022-08-11,드라마,,
카우,안드레아 아놀드,영국,2022-08-11,다큐멘터리,,
유나바머: 테드 K,,미국,2022-08-11,범죄,,
뱅크시,엘리오 에스파나,영국,2022-08-11,다큐멘터리,,
긴급구원 더레스큐,임초현,중국,2022-08-11,액션,,
제로스 앤 원스,아벨 페라라,독일,2022-08-10,전쟁,,
극장판 살아남기 시리즈: 인체에서 살아남기,"나스카와 미츠루, 이리요시 사토루",일본,2022-08-10,애니메이션,,
DC 리그 오브 슈퍼-펫,"자레드 스턴, 샘 레빈",미국,2022-08-10,애니메이션,237376.0,2232056701.0
초록밤,윤서진,한국,2022-07-28,기타,,
극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,야마구치 스스무,일본,2022-08-03,애니메이션,36417.0,346253298.0
스파이형 모델,김영일,한국,2022-07-20,SF,,
뿌까의 짜장면파티,박상용,한국,2022-07-04,기타,,
외계+인 1부,최동훈,한국,2022-07-20,액션,1521715.0,15859881850.0
비욘드 라이브 더 무비: 엑소의 사다리 타고 세계여행3,최소망,한국,2022-07-27,코미디,,
적인걸: 천안의 비밀,,중국,2022-07-29,액션,,
콜드워,,카자흐스탄,2022-07-07,범죄,,
데이 투 다이,웨스 밀러,미국,2022-07-07,범죄,,
더 킬러: 죽어도 되는 아이,최재훈,한국,2022-07-13,액션,56135.0,576637400.0
임파서블 러브,까뜨린느 꼬르시니,프랑스,2022-07-28,드라마,,
안나푸르나: 비욘드 써밋,이본 코르멘자나,"스페인,프랑스",2022-07-28,드라마,,
뽀로로 극장판 드래곤캐슬 대모험,"강승훈, 윤제완",한국,2022-07-28,애니메이션,433372.0,4057887335.0
배드 럭 뱅잉,라두 주데,"루마니아,체코,룩셈부르크",2022-07-28,드라마,,
간호중,민규동,한국,2021-12-02,SF,,
썸머 필름을 타고!,마츠모토 소우시,일본,2022-07-20,기타,20468.0,195879920.0
서울괴담,홍원기,한국,2022-04-27,공포(호러),109060.0,1041926320.0
언플랜드,"척 콘젤만, 캐리 솔로몬",미국,2020-12-17,드라마,8851.0,75163740.0
태양의 소녀들,에바 허슨,프랑스,2020-10-22,드라마,,
자마,루크레시아 마르텔,아르헨티나,2021-08-26,드라마,,
핸썸,김동욱,한국,2022-07-13,코미디,,
아이언 크로스: 노르망디 상륙작전,티노 스트럭맨,미국,2022-07-21,전쟁,,
왕좌의 법칙,루스템 압드라쉐프,카자흐스탄,2022-07-21,전쟁,,
역할들,연송하,한국,2022-03-31,드라마,,
레드 로켓,션 베이커,미국,2022-03-12,드라마,,
그림자라 불리는 남자들,카타오카 슈지,일본,2022-07-20,액션,,
미니언즈2,카일 발다,미국,2022-07-20,애니메이션,2263349.0,21951863534.0
디어헌터(감독판),마이클 치미노,미국,2022-06-23,전쟁,,
귀멸의 칼날: 주합회의·나비저택 편,소토자키 하루오,일본,2021-12-01,애니메이션,18271.0,174309210.0
귀멸의 칼날: 나타구모산 편,소토자키 하루오,일본,2021-11-17,애니메이션,29653.0,290458520.0
메모리,마틴 캠벨,미국,2022-07-14,범죄,,
로스트 도터,매기 질렌할,미국,2022-07-14,드라마,,
군다,빅토르 코사코프스키,미국,2022-07-14,다큐멘터리,,
비욘드 라이브 더 무비 : 샤이니 월드,,한국,2022-06-29,공연,,
갈매기,김미조,한국,2021-07-28,드라마,,
미싱타는 여자들,"이혁래, 김정영",한국,2022-01-20,다큐멘터리,,
엘비스,바즈 루어만,미국,2022-07-13,드라마,77260.0,830288570.0
그레이 맨,"안소니 루소, 조 루소",미국,2022-07-13,액션,25480.0,246156860.0
큐어,구로사와 기요시,일본,2022-07-06,공포(호러),11442.0,122001600.0
극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,,영국,2022-02-17,애니메이션,23093.0,191304300.0
워헌트,,미국,2022-07-07,액션,,
어쌔신 트랩,안드레아 자카리엘로,이탈리아,2022-07-07,액션,,
토르: 러브 앤 썬더,타이카 와이티티,미국,2022-07-06,액션,2709699.0,29437454744.0
빅샤크4: 바다공룡 대모험,,중국,2022-07-06,어드벤처,58315.0,520942680.0
낙소스 섬의 아리아드네,,미국,2022-07-05,공연,,
언더 샤크,스콧 제프리,영국,2022-07-05,미스터리,,
위대한 침묵,송상민,한국,2022-06-29,다큐멘터리,,
그대라는기억 연숙씨,심미희,한국,2022-06-16,다큐멘터리,,
우스운게 딱! 좋아!,"김현, 정혜연",한국,2022-06-23,드라마,,
"괴물, 유령, 자유인",홍지영,한국,2022-06-02,SF,,
"허황옥 3일, 잃어버린 2천 년의 기억",진재운,한국,2022-05-12,다큐멘터리,,
일진 3,이수성,한국,2022-06-25,액션,,
일진 2,이수성,한국,2022-06-25,액션,,
금의위5-풍운제일검,등연성,중국,2022-06-22,액션,,
리터너 : 타임 킬러,,캐나다,2022-06-10,액션,,
1945 그레이트 워,데이빗 아부카야,프랑스,2022-06-15,전쟁,,
미친 능력,톰 고미칸,미국,2022-06-29,범죄,,
보통의 용기,구민정,한국,2022-06-30,다큐멘터리,,
크리미널 트위스트,마틴 오웬,영국,2022-06-07,액션,,
프리! 더 파이널 스트로크 후편,카와나미 에이사쿠,일본,2022-06-30,애니메이션,,
컴온 컴온,마이크 밀스,미국,2022-06-30,드라마,7534.0,76013600.0
눈감은 여름,,베트남,2022-06-30,드라마,,
고스트랜드,소노 시온,미국,2022-06-29,액션,,
"아치의 노래, 정태춘",고영재,한국,2022-05-18,다큐멘터리,22087.0,213221820.0
베르네 부인의 장미정원,,프랑스,2022-06-09,드라마,,
데쓰 캘린더,,프랑스,2022-06-23,공포(호러),,
무녀도,안재훈,한국,2021-11-24,뮤지컬,,
애프터 양,코고나다,미국,2022-06-01,드라마,22114.0,222047590.0
특수요원 빼꼼,장양,중국,2022-06-01,애니메이션,11066.0,101685400.0
더 노비스,로런 해더웨이,미국,2022-05-25,스릴러,,
벨파스트,케네스 브래너,미국,2022-03-23,드라마,8614.0,79118100.0
"파리, 13구",자크 오디아르,프랑스,2022-05-12,드라마,,
어나더 라운드,토마스 빈터베르그,기타,2022-01-19,코미디,28290.0,262040150.0
정복자 윌리엄,파비앙 드루전,프랑스,2022-06-23,전쟁,,
블레이징 썬,,러시아,2022-06-23,전쟁,,
두개의 눈,박우재,한국,2022-06-23,공연,,
이상한 나라의 아빠,이상식,한국,2022-06-22,뮤지컬,,
그대가 조국,이승준,한국,2022-05-25,다큐멘터리,324501.0,3028475070.0
버즈 라이트이어,앵거스 맥클레인,미국,2022-06-15,애니메이션,338836.0,3476340660.0
소리없는 추격자,,스페인,2022-06-16,미스터리,,
센티그레이드,,미국,2022-06-16,기타,,
벰: 비컴 휴먼,이케하타 히로시,일본,2022-06-16,애니메이션,,
배니싱: 미제사건,드니 데르쿠르,프랑스,2022-03-30,범죄,27075.0,240861910.0
쥬라기 월드: 도미니언,콜린 트레보로우,미국,2022-06-01,액션,2832241.0,29194745990.0
카시오페아,신연식,한국,2022-06-01,드라마,18749.0,176440500.0
실종,,일본,2022-06-15,스릴러,5506.0,55498300.0
더 렛지,하워드 J. 포드,영국,2022-06-15,액션,,
꼭두각시,이상식,한국,2022-06-15,공연,,
정말 먼 곳,박근영,한국,2021-03-18,드라마,,
스지보리:리얼 야쿠자,코바야시 유키,일본,2022-06-10,액션,,
히든,한종훈,한국,2022-05-25,액션,,
피는 물보다 진하다,김희성,한국,2022-05-25,액션,14075.0,89808100.0
인연을 긋다,이정섭,한국,2022-05-26,드라마,,
제미나이: 지구 최후의 날,,러시아,2022-06-09,SF,,
애프터 체르노빌,,러시아,2022-06-09,스릴러,,
영희,차상민,한국,2022-05-01,코미디,,
어부바,최종학,한국,2022-05-11,가족,19807.0,164791470.0
올리 마키의 가장 행복한 날,,기타,2022-06-02,드라마,,
산사나무 아래,장예모,중국,2022-06-08,드라마,,
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,유야마 쿠니히코,일본,2022-06-01,애니메이션,577402.0,5442074270.0
쏴!쏴!쏴!쏴!탕,김재한,한국,2022-05-18,드라마,,
봉명주공,김기성,한국,2022-05-19,다큐멘터리,,
데드캠핑 더라이브,김현우,한국,2022-05-12,스릴러,,
아이들은 즐겁다,이지원,한국,2021-05-05,드라마,,
빛나는 순간,소준문,한국,2021-06-30,드라마,,
사랑하고 있습니까,김정권,한국,2020-03-25,판타지,8749.0,69140360.0
셀링 이소벨,루돌프 부이텐닥,영국,2022-06-01,범죄,,
#해시태그,이상식,한국,2022-06-01,공연,,
화피사,,중국,2022-06-01,액션,,
해피 데스나이트,에릭 포스버그,미국,2022-05-18,공포(호러),,
소설의 신,쿠보 시게아키,일본,2022-05-17,드라마,,
천사의 유혹,,미국,2022-05-10,스릴러,,
죽음의 숲,브렛 벤트먼,미국,2022-05-10,서부극(웨스턴),,
살인의 공간,브렛 벤트먼,미국,2022-05-10,범죄,,
블러디 빌리지,,이탈리아,2022-05-10,스릴러,,
불 라이더,브렛 벤트먼,미국,2022-05-10,서부극(웨스턴),,
라스트 제너럴,크리스토퍼 포브스,미국,2022-05-10,전쟁,,
쿵푸 허슬: 무적 파이터,엽영건,홍콩,2022-05-04,액션,,
대명금의위2: 척살무사,,중국,2022-05-03,액션,,
뜨거운 피: 디 오리지널,천명관,한국,2022-05-26,액션,9523.0,78526200.0
핑크퐁과 아기상어의 월드투어쇼,이승규,한국,2022-05-28,공연,,
이터널 로드,안티-주시 안닐라,"핀란드,에스토니아,스웨덴",2022-05-27,드라마,,
그래니트: 트루 솔저,,러시아,2022-05-26,전쟁,,
셧 인,D.J. 카루소,미국,2022-05-26,기타,,
몬스터 싱어: 매직 인 파리,비보 베르즈롱,프랑스,2022-05-26,애니메이션,12260.0,107912320.0
개인레슨,안톤 시규르드손,영국,2022-05-26,스릴러,,
헝거,강다연,한국,2022-04-21,SF,,
플레이그라운드,,벨기에,2022-05-25,드라마,,
나를 만나는 길,"마크 J. 프란시스, 맥스 퍼그",영국,2022-05-12,다큐멘터리,,
평평남녀,김수정,한국,2022-04-28,드라마,,
앵커,정지연,한국,2022-04-20,스릴러,157897.0,1545616170.0
쥬라기 리턴즈,스콧 제프리,영국,2022-05-24,액션,,
리골레토,,미국,2022-05-24,공연,,
"위대한 계약: 파주, 책, 도시","김종신, 정다운",한국,2022-04-21,다큐멘터리,,
엄마와 나,연왕모,한국,2022-04-14,다큐멘터리,,
스텔라,권수경,한국,2022-04-06,코미디,87823.0,798436230.0
나소흑전기: 첫만남편,,중국,2021-04-22,애니메이션,,
쁘띠 마망,셀린 시아마,프랑스,2021-10-07,드라마,,
전장의 피아니스트,,기타,2022-01-06,드라마,,
용과 주근깨 공주,호소다 마모루,일본,2021-09-29,애니메이션,63985.0,621588100.0
드림빌더,,기타,2021-02-10,애니메이션,14326.0,122221230.0
보이콰이어,프랑소아 지라드,미국,2020-05-14,드라마,,
노웨어 스페셜,우베르토 파솔리니,이탈리아,2021-12-29,드라마,,
나는 조선사람입니다,김철민,한국,2021-12-09,다큐멘터리,,
너에게 가는 길,변규리,한국,2021-11-17,다큐멘터리,,
비커밍 아스트리드,퍼닐 피셔 크리스텐센,기타,2021-05-12,드라마,,
파이어스타터,키이스 토마스,미국,2022-05-19,공포(호러),,
완벽한 축사를 준비하는 방법,로랑 티라르,프랑스,2022-05-19,코미디,,
나의 집은 어디인가,,기타,2022-04-07,다큐멘터리,,
소설가의 영화,홍상수,한국,2022-04-21,드라마,,
매스,프란 크랜즈,미국,2022-05-18,드라마,,
부기나이트,김경엽,한국,2022-04-28,코미디,,
엄마,아이리스 심,미국,2022-05-11,스릴러,16040.0,141412900.0
퍼스트 러브,츠츠미 유키히코,일본,2022-05-16,미스터리,,
우연과 상상,하마구치 류스케,일본,2022-05-04,드라마,8655.0,87886000.0
스프링 블라썸,,프랑스,2022-05-04,드라마,,
민스미트 작전,존 매든,미국,2022-05-11,드라마,33167.0,320763810.0
허셀프,필리다 로이드,영국,2022-05-12,드라마,,
크로스 더 라인,다비드 빅토리,스페인,2022-05-12,스릴러,,
잭 인 더 박스,로렌스 파울러,영국,2022-05-12,공포(호러),,
"좋은 빛, 좋은 공기",임흥순,한국,2021-04-28,다큐멘터리,,
아들의 이름으로,이정국,한국,2021-05-12,드라마,22834.0,198470300.0
광주비디오: 사라진 4시간,이조훈,한국,2020-07-16,다큐멘터리,,
배드 가이즈,피에르 페리펠,미국,2022-05-04,애니메이션,392762.0,3735229200.0
복지식당,"정재익, 서태수",한국,2022-04-14,드라마,,
카사네 : 빼앗는 얼굴,사토 유이치,일본,2022-05-05,판타지,,
극장판 엉덩이 탐정: 수플레 섬의 비밀,자코 아키후미,일본,2022-05-05,애니메이션,147175.0,1363352140.0
닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,미국,2022-05-04,액션,5881010.0,62612708140.0
토르: 마법 검의 전설,,독일,2022-05-04,애니메이션,7835.0,68464400.0
3.5교시,유희정,한국,2022-04-14,미스터리,,
오늘부터 우리는!!,후쿠다 유이치,일본,2022-04-15,코미디,,
그날,아담 스틸웰,미국,2022-05-02,공포(호러),,
몬스터 아일랜드,마크 앳킨스,미국,2022-04-28,SF,,
데스위시 더 게임,제임스 쿨렌 브레삭,미국,2022-04-28,액션,,
도진강호,,중국,2022-04-21,액션,,
그것은 물 밑에서 온다,데일 파브리가,미국,2022-04-21,공포(호러),,
금의위 3인의 무사 2,,중국,2022-04-20,액션,,
금의위4 지존무사,등연성,중국,2022-04-13,액션,,
대전투 1944,마크 슈미트,독일,2022-04-06,전쟁,,
대명금의위,,중국,2022-04-06,액션,,
크리처 인 더 다크,,미국,2022-04-01,공포(호러),,
죽음의 땅,,미국,2022-04-01,스릴러,,
더 컨트랙터,타릭 살레,미국,2022-04-28,액션,,
아파치 정션 : 무법자의 지대,저스틴 리,미국,2022-04-27,서부극(웨스턴),,
재춘언니,이수정,한국,2022-03-31,다큐멘터리,,
뜨거운 피,천명관,한국,2022-03-23,범죄,390675.0,3737156970.0
뮤지컬 킹키부츠 라이브,브렛 설리반,영국,2022-04-28,공연,,
파리의 피아니스트: 후지코 헤밍의 시간들,코마츠 소이치로,일본,2022-04-27,다큐멘터리,,
기적,이장훈,한국,2021-09-15,드라마,701176.0,6537831510.0
쿠폰의 여왕,아론 고뎃,미국,2022-04-27,코미디,,
이스케이프 런,파렌 블랙번,프랑스,2022-04-27,드라마,,
