제목,감독,국가,개봉일,평점,장르
schitt's creek,,,2015-02-23,8.0,
the assassination of gianni versace,,,2015-08-27,6.4,
the judgement,,,2021-09-02,6.7,
the last dance,,,2019-10-04,5.7,
they've gotta have us,,,2015-09-01,0.0,
why are you like this,,,2015-01-07,3.25,
a family,,,2015-09-02,8.2,
elite,,,2017-02-01,4.0,
fatherhood,,,2021-06-18,7.5,
hospital playlist,,,2015-05-26,5.0,
jagame thandhiram,,,2021-06-18,5.681,
kambili: the whole 30 yards,,,2021-06-18,2.0,
rurouni kenshin: the final,,,2021-04-23,7.7,
so not worth it,,,2016-09-09,5.423,
the rational life,,,2015-09-09,6.0,
ali & ratu ratu queens,,,2021-06-17,6.2,
aziza,,,2019-01-25,5.0,
besieged bread,,,2016-10-03,4.8,
black summer,,,2019-06-20,6.8,
elite short stories: carla samuel,,,2017-02-01,4.0,
fan girl,,,2015-12-31,5.3,
katla,,,2016-11-25,7.8,
record of ragnarok,,,2015-03-28,6.1,
red snow,,,2019-02-01,5.0,
silver linings playbook,,,2018-07-01,4.5,
the gift,,,2015-07-31,6.69,
