제목,감독이름,제작국가,개봉일,장르,누적관객수,누적매출액
프리즌 이스케이프,,,2020-05-06,,213731,1826826560
더 플랫폼,,,2020-05-13,,61779,566334000
콜 오브 와일드,,,2020-05-14,,32242,275926220
톰보이,,,2020-05-14,,23992,213762420
씨 피버,,,2020-05-13,,7124,62300540
카페 벨에포크,,,2020-05-20,,55130,475091080
킬러의 보디가드 무삭제 특별판,,,2018-09-12,,10422,90410780
언더워터,,,2020-05-27,,101343,870761760
그집,,,2020-05-27,,27868,231487520
미스비헤이비어,,,2020-05-27,,24769,206186780
초미의 관심사,,,2020-05-27,,10351,82840160
아홉 스님,,,2020-05-27,,17249,105457800
침입자,,,2020-06-04,,529259,4788172040
프랑스여자,,,2020-06-04,,8548,65245420
결백,,,2020-06-10,,894025,7859629340
에어로너츠,,,2020-06-10,,71614,636643960
나의 첫 번째 슈퍼스타,,,2020-06-10,,47183,430822560
아이즈 온 미 : 더 무비,,,2020-06-10,,37743,487027000
너는 달밤에 빛나고,,,2020-06-10,,8723,78387000
온워드: 단 하루의 기적,,,2020-06-17,,414699,3565679500
사라진 시간,,,2020-06-18,,185385,1649096880
야구소녀,,,2020-06-18,,28388,245870140
#살아있다,,,2020-06-24,,1900331,15946026420
엔딩스 비기닝스,,,2020-06-24,,10391,85821240
소리꾼,,,2020-07-01,,74724,609107640
인베이젼 2020,,,2020-07-01,,18543,154539140
"아무튼, 아담",,,2020-07-02,,5415,40057000
밤쉘: 세상을 바꾼 폭탄선언,,,2020-07-08,,174468,1485487640
소년시절의 너,,,2020-07-09,,246755,2249908960
그레텔과 헨젤,,,2020-07-08,,11011,99221820
반도,,,2020-07-15,,3810397,33060095780
BIFAN2020 판타스틱 단편 걸작선 1,,, ,,20000,120000000
비바리움,,,2020-07-16,,14265,123829280
팬데믹,,,2020-07-22,,17104,150209600
블루 아워,,,2020-07-22,,16649,143366480
파리의 인어,,,2020-07-23,,25242,215365000
강철비2: 정상회담,,,2020-07-29,,1789851,14653254110
빅샤크3: 젤리몬스터 대소동,,,2020-07-29,,67387,520832240
존 윅: 특별판,,,2017-03-30,,6745,58597980
다만 악에서 구하소서,,,2020-08-05,,4350493,38553614260
애니멀 크래커,,,2020-08-05,,119060,943896280
오케이 마담,,,2020-08-12,,1225004,10957629630
더 프린세스 : 도둑맞은 공주,,,2020-08-12,,55398,454299300
반교: 디텐션,,,2020-08-13,,32575,300237330
워터 릴리스,,,2020-08-13,,8015,68007252
테넷,,,2020-08-26,,1995833,18432739370
극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,,,2020-08-20,,120580,982159240
남매의 여름밤,,,2020-08-20,,15023,123008490
시크릿 가든,,,2020-08-19,,11102,93279660
오! 문희,,,2020-09-02,,318748,2563470340
드라이브,,,2011-11-17,,30994,250704810
고스트 오브 워,,,2020-09-02,,5754,49382160
카일라스 가는 길,,,2020-09-03,,1699,14099960
뉴 뮤턴트,,,2020-09-10,,61103,539510410
기기괴괴 성형수,,,2020-09-09,,87463,779456800
에이바,,,2020-09-09,,19155,150522760
뮬란,,,2020-09-17,,221265,1951303820
더 렌탈 : 소리없는 감시자,,,2020-09-16,,6558,52655280
도망친 여자,,,2020-09-17,,4084,35445850
검객,,,2020-09-23,,174151,1494580260
디바,,,2020-09-23,,88252,745548040
브레이크 더 사일런스: 더 무비,,,2020-09-24,,122388,1078263000
아웃포스트,,,2020-09-23,,33070,280854970
극장판 엉덩이 탐정: 텐텐마을의 수수께끼,,,2020-09-24,,7739,57135820
담보,,,2020-09-29,,1714500,14714264360
국제수사,,,2020-09-29,,533002,4467070550
그린랜드,,,2020-09-29,,319741,2736825130
죽지않는 인간들의 밤,,,2020-09-29,,88021,722802350
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,,,2020-09-30,,86080,690129180
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",,,2020-09-29,,94361,2909954000
극장판 미니특공대: 햄버거괴물의 습격,,,2020-09-30,,36813,298404180
언힌지드,,,2020-10-07,,112613,974291550
애프터: 그 후,,,2020-10-07,,25547,216647010
"어디갔어, 버나뎃",,,2020-10-08,,16651,145290000
소리도 없이,,,2020-10-15,,401693,3545044680
폰조,,,2020-10-14,,21069,175093650
돌멩이,,,2020-10-15,,15970,134757400
극장판 요괴워치: 포에버 프렌즈,,,2020-10-15,,9158,72925170
삼진그룹 영어토익반,,,2020-10-21,,1565712,13937434430
미스터트롯: 더 무비,,,2020-10-22,,140625,1212634900
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,,,2020-10-22,,60390,552036460
부니베어: 원시시대 대모험,,,2020-10-22,,5006,40348600
종이꽃,,,2020-10-22,,4957,42492670
다만 악에서 구하소서 파이널컷,,,2020-10-28,,34210,300157230
테슬라,,,2020-10-28,,17650,140475310
도굴,,,2020-11-04,,1543277,13943212850
내가 죽던 날,,,2020-11-12,,228032,2093922620
극장판 바이올렛 에버가든,,,2020-11-12,,45502,390098940
애비규환,,,2020-11-12,,16154,148575910
킹덤 오브 헤븐: 디렉터스 컷,,,2020-11-11,,15057,141342100
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,,,2020-11-12,,21904,147406000
런,,,2020-11-20,,280569,2576241880
마리 퀴리,,,2020-11-18,,21591,173796150
이웃사촌,,,2020-11-25,,427141,3668929700
택스 콜렉터,,,2020-11-18,,14498,112372040
추억의 검정고무신,,,2020-11-19,,17582,143923600
프리키 데스데이,,,2020-11-25,,49292,429657150
갈릴리 예수,,,2020-11-26,,4718,38929850
더 프롬,,,2020-12-02,,23577,205048340
파티마의 기적 ,,,2020-12-03,,14665,117531000
잔칫날,,,2020-12-02,,7073,56134850
조제,,,2020-12-10,,209062,1876179450
800,,,2020-12-10,,14251,124573000
미드나이트 스카이,,,2020-12-09,,5094,44292400
언플랜드,,,2020-12-17,,8851,75163740
리플레이,,,2020-12-16,,9933,82502050
원더 우먼 1984,,,2020-12-23,,544186,4915085650
화양연화,,,2000-10-20,,100156,878825270
100% 울프: 푸들이 될 순 없어,,,2020-12-24,,14781,117864080
썸머 85,,,2020-12-24,,4353,39355840
